month,dest,origin,average_seats,average_passengers
1,1CA,HHR,9,8
1,1G4,1G4,721.5,578
1,1G4,BLD,276,0
1,1NC,RIC,8,3
1,2CA,HHR,9,2
1,7AK,DUT,103.5,50.75
1,7AK,KQA,654,134
1,A1K,SCC,18,0
1,A20,ANC,0,0
1,A20,SCC,0,0
1,A27,FAI,27,6
1,A29,A43,3,0
1,A43,ALZ,9,0
1,A43,KKB,7.5,1.5
1,A43,KPR,7.5,1
1,A43,KWP,4.5,0.5
1,A43,KZB,24,1
1,A43,UGI,12,6
1,ABE,ATL,2000.66666666667,1616.66666666667
1,ABE,BNA,8,5
1,ABE,BWI,0,0
1,ABE,CLT,6004,4888
1,ABE,CVG,0,0
1,ABE,DFW,0,0
1,ABE,DSM,0,0
1,ABE,DTW,4300,2712
1,ABE,EWR,0,0
1,ABE,FLL,708,554
1,ABE,IND,0,0
1,ABE,IPT,0,0
1,ABE,MCI,76,73
1,ABE,MEM,0,0
1,ABE,ONT,0,0
1,ABE,ORD,866.666666666667,689
1,ABE,PGD,1674,1408
1,ABE,PHL,2900,2208
1,ABE,PHX,0,0
1,ABE,PIE,963,853.5
1,ABE,SCK,0,0
1,ABE,SFB,2764.5,2402
1,ABE,SMF,0,0
1,ABI,DFW,3795,2768
1,ABI,IFP,189,103
1,ABI,LBB,0,0
1,ABI,SJT,50,50
1,ABI,STL,200,0
1,ABL,FAI,18,9
1,ABL,IAN,18,9
1,ABL,OBU,28.2,10
1,ABL,ORV,27,23
1,ABL,OTZ,76.5714285714286,33.8571428571429
1,ABL,RDB,13.5,2
1,ABL,SHG,33.2857142857143,9.71428571428571
1,ABL,WLK,27,15.5
1,ABQ,AMA,76,43
1,ABQ,ATL,3406.33333333333,2791.33333333333
1,ABQ,AUS,1846,1224
1,ABQ,BOS,150,122
1,ABQ,BUR,150,139
1,ABQ,BWI,1366.66666666667,931.666666666667
1,ABQ,BZN,76,0
1,ABQ,CNM,408,240
1,ABQ,DAL,7061.66666666667,4913.66666666667
1,ABQ,DEN,2283.5,1720.2
1,ABQ,DFW,5877,4203.4
1,ABQ,DRO,0,0
1,ABQ,ELP,0,0
1,ABQ,FMN,0,0
1,ABQ,GDL,715.5,244
1,ABQ,GUP,0,0
1,ABQ,HHR,9,4
1,ABQ,HOU,4456.33333333333,2739.33333333333
1,ABQ,IAH,2119,1501
1,ABQ,JFK,1525,1145
1,ABQ,LAS,3919.5,2797.5
1,ABQ,LAX,3676.4,2480.2
1,ABQ,MCI,1356,953
1,ABQ,MCO,878.666666666667,577
1,ABQ,MDW,2193,1568.5
1,ABQ,MEM,0,0
1,ABQ,MSP,316,245
1,ABQ,OAK,2793,1622
1,ABQ,OKC,175,153
1,ABQ,ONT,0,0
1,ABQ,ORD,1048.54545454545,531.363636363636
1,ABQ,PDX,1824,1471
1,ABQ,PHX,6575.2,4701.6
1,ABQ,SAN,1966.2,1116.8
1,ABQ,SDF,0,0
1,ABQ,SEA,1123.8,729.8
1,ABQ,SFO,2135,1408
1,ABQ,SJC,715,422
1,ABQ,SLC,2675.66666666667,1872
1,ABQ,SNA,456,344
1,ABQ,SVC,320,151.5
1,ABQ,TUS,143,106
1,ABR,FSD,0,0
1,ABR,IFP,189,154
1,ABR,MSP,3000,2189
1,ABR,PIR,0,0
1,ABY,ATL,4150,2910
1,ABY,PHL,0,0
1,ABY,PNS,0,0
1,ABY,SDF,0,0
1,ACA,IAH,1292,1065
1,ACA,ORD,160,140
1,ACC,IAD,4353,3771
1,ACC,JFK,3746,2979
1,ACK,BOS,1656,827
1,ACK,EWB,441,230
1,ACK,HPN,8,4
1,ACK,HYA,915,392.666666666667
1,ACK,JFK,243,92
1,ACK,LGA,18,1
1,ACK,MVY,72,25
1,ACK,PVD,0,0
1,ACT,CKB,76,32
1,ACT,DFW,1722.33333333333,1259
1,ACT,IAH,76,0
1,ACT,TCL,173,49
1,ACV,BUR,100,0
1,ACV,CEC,0,0
1,ACV,DEN,50,0
1,ACV,LAX,1400,1274
1,ACV,RDD,100,0
1,ACV,RDM,50,0
1,ACV,SBP,50,0
1,ACV,SFO,2188,1817.5
1,ACV,SMF,0,0
1,ACY,BWI,228,201
1,ACY,EWR,145,117
1,ACY,FLL,8745.5,6851
1,ACY,MCO,6933,5289
1,ACY,MYR,5824,3741
1,ACY,PBI,6840,5545
1,ACY,RSW,5809,4160
1,ACY,TPA,7068,4995
1,ADD,EWR,5940,2947
1,ADD,IAD,8100,7267
1,ADD,LAX,3510,1913
1,ADD,ORD,3240,1479
1,ADK,ANC,287.75,84.5
1,ADQ,ADQ,10,0
1,ADQ,AKK,41.6666666666667,9.66666666666667
1,ADQ,ANC,813,427
1,ADQ,DGB,5,2
1,ADQ,ENA,103,82
1,ADQ,KLN,61.5,15.75
1,ADQ,KOZ,85,28
1,ADQ,KYK,29.5,7.5
1,ADQ,OLH,103.666666666667,33
1,ADQ,OME,0,0
1,ADQ,ORI,71.2,21.8
1,ADQ,OTZ,0,0
1,ADS,BFI,0,0
1,ADS,CLL,120,0
1,ADS,GDC,0,0
1,ADS,SAT,8,2
1,ADS,SJU,60,0
1,AET,AKP,27,11
1,AET,BTT,172,63
1,AET,FAI,44.8,15.6
1,AET,HUS,75,30
1,AET,TAL,9,1
1,AEX,ATL,5400,3950
1,AEX,BRO,155,0
1,AEX,BTV,186,109
1,AEX,CSG,1395,0
1,AEX,DFW,1932,1327.5
1,AEX,DQK,156,96
1,AEX,GTB,0,0
1,AEX,GYY,620,0
1,AEX,IAH,3000,1978
1,AEX,LFT,44,16
1,AEX,MDT,465,0
1,AEX,MEM,310,0
1,AEX,MIA,310,0
1,AEX,OAJ,177,96
1,AEX,RIC,310,0
1,AEX,TOL,155,0
1,AFW,ATL,0,0
1,AFW,AUS,0,0
1,AFW,DEN,0,0
1,AFW,ELP,0,0
1,AFW,HRL,0,0
1,AFW,IAH,0,0
1,AFW,ICT,0,0
1,AFW,LAX,0,0
1,AFW,LBB,0,0
1,AFW,MCI,0,0
1,AFW,MEM,0,0
1,AFW,MSP,0,0
1,AFW,OAK,0,0
1,AFW,ONT,0,0
1,AFW,ORD,0,0
1,AFW,PDX,0,0
1,AFW,PHX,0,0
1,AFW,SAT,0,0
1,AFW,SHV,0,0
1,AFW,TUL,0,0
1,AGN,JNU,82,23.3333333333333
1,AGN,TKE,35.5,7.5
1,AGS,ATL,5506.66666666667,4436
1,AGS,CLT,3360,2548
1,AGS,GNV,50,38
1,AGS,GPT,129,110
1,AGS,TPA,0,0
1,AGT,MIA,0,0
1,AGU,DFW,1113.33333333333,877.666666666667
1,AGU,IAH,3100,2385
1,AGU,LAX,1169.5,693.5
1,AIA,CDR,184,58
1,AIA,DEN,440,229
1,AIN,ATK,72.3333333333333,35
1,AIN,BRW,119.666666666667,32
1,AIN,FAI,19,0
1,AIN,NUI,38,24
1,AIN,OME,19,0
1,AIN,OTZ,76,44
1,AIN,SCC,0,0
1,AKB,DUT,72,9
1,AKI,BET,25.7,4.7
1,AKI,KKI,22.8,4.8
1,AKI,KWT,14,8
1,AKI,NUP,9,0
1,AKI,TLT,20.25,8
1,AKK,ADQ,55.5,20.5
1,AKK,KLN,5,0
1,AKK,OLH,9.5,2.5
1,AKL,HNL,2478,2223.8
1,AKL,IAH,4826,4068.5
1,AKL,LAX,9864.33333333333,8665.66666666667
1,AKL,ORD,3208,2568
1,AKL,SFO,7106,6107
1,AKN,AKN,18,0
1,AKN,ANC,87,71.5833333333333
1,AKN,CDB,3,0
1,AKN,CLP,15,0.5
1,AKN,DLG,146.625,93.125
1,AKN,EGX,60,6
1,AKN,HOM,6,0
1,AKN,IGG,24,3
1,AKN,ILI,9,8.5
1,AKN,KCG,9,0
1,AKN,KCL,36,0
1,AKN,KCQ,45,2
1,AKN,KLL,49,5
1,AKN,KPV,36,4
1,AKN,PIP,53.5,3
1,AKN,PTH,53,2
1,AKN,UGS,16.5,1
1,AKN,WSN,40.5,1.5
1,AKP,AET,18,3
1,AKP,ARC,9,0
1,AKP,BRW,19,0
1,AKP,BTI,19,18
1,AKP,BTT,45,24
1,AKP,CXF,18,4
1,AKP,FAI,81.8571428571429,33.8571428571429
1,AKP,OTZ,19,11
1,AKP,PIZ,19,17
1,AKP,SCC,19,0
1,AL7,CPR,8,4
1,ALB,ATL,6179.5,4938
1,ALB,BDL,71.5,48
1,ALB,BOS,738,326
1,ALB,BTV,70,17
1,ALB,BWI,6659.66666666667,4753.66666666667
1,ALB,CLT,5405.5,4288
1,ALB,DCA,1767,1336
1,ALB,DEN,302,261
1,ALB,DTW,1217.83333333333,787.333333333333
1,ALB,EWR,1916.66666666667,1479.33333333333
1,ALB,FLL,2242.25,1860
1,ALB,IAD,933.333333333333,798
1,ALB,MCO,2682,2167.5
1,ALB,MDW,3615.5,2914
1,ALB,MEM,0,0
1,ALB,MKE,50,44
1,ALB,MSP,220,171
1,ALB,OGS,657,318
1,ALB,ORD,1095.18181818182,753.272727272727
1,ALB,PGD,1096.5,633.5
1,ALB,PHL,2326,1765.66666666667
1,ALB,PIE,1035,767.5
1,ALB,PVD,0,0
1,ALB,PWM,8,3
1,ALB,ROC,50,0
1,ALB,RSW,1249.5,882.5
1,ALB,SDF,0,0
1,ALB,SFB,982.5,652
1,ALB,TEB,8,2
1,ALB,TPA,1557.33333333333,1006
1,ALO,ORD,2350,1454
1,ALS,ALS,32,22
1,ALS,DEN,784,477
1,ALW,PDX,8,6
1,ALW,SEA,4788,3301
1,ALZ,KMY,9,0
1,AMA,AUS,600,95
1,AMA,DAL,8326,4722.5
1,AMA,DEN,3050,1854
1,AMA,DFW,6721,4359.5
1,AMA,IAH,3300,2381
1,AMA,IFP,189,157
1,AMA,LAS,4433,2600
1,AMA,LBB,50,24.5
1,AMA,OKC,109.5,86.5
1,AMA,PHX,2413,755
1,AMM,DTW,795,492
1,AMM,JFK,1855,1367.5
1,AMM,ORD,6095,4533
1,AMS,ATL,6041,5080.83333333333
1,AMS,BOS,9065,7102
1,AMS,DFW,0,0
1,AMS,DTW,4939.6,3375.8
1,AMS,EWR,6634,5381
1,AMS,IAD,2182.33333333333,1415.66666666667
1,AMS,IAH,8695.5,6193.5
1,AMS,JFK,5196.5,3613.875
1,AMS,LAS,642.5,559.5
1,AMS,LAX,5079,3818
1,AMS,MCO,4017,3242
1,AMS,MIA,1039.33333333333,700.666666666667
1,AMS,MSP,7065.33333333333,5216.33333333333
1,AMS,ORD,2672.5,1814.25
1,AMS,PDX,4905,4054
1,AMS,PHL,4894,3358
1,AMS,SEA,9073,7322
1,AMS,SFB,2745,900
1,AMS,SFO,2335.5,1851.75
1,AMS,SLC,4889,4120
1,AMS,TEB,14,2
1,ANB,PTK,0,0
1,ANC,A20,0,0
1,ANC,ADK,383.666666666667,56.6666666666667
1,ANC,ADQ,889.8,383.9
1,ANC,AKN,119.333333333333,84.8888888888889
1,ANC,ANC,21.1,13
1,ANC,ANI,116.142857142857,53
1,ANC,ATL,0,0
1,ANC,BET,859.333333333333,406.666666666667
1,ANC,BGR,0,0
1,ANC,BIF,0,0
1,ANC,BRW,669.833333333333,321.5
1,ANC,BVU,94.5,6
1,ANC,CAN,0,0
1,ANC,CDB,132.857142857143,46.4285714285714
1,ANC,CDV,956.25,328.75
1,ANC,CHS,0,0
1,ANC,CSX,0,0
1,ANC,CVG,0,0
1,ANC,DEN,5976,5092
1,ANC,DFW,0,0
1,ANC,DLG,123.625,88.875
1,ANC,DUT,661.428571428571,150
1,ANC,EDF,0,0
1,ANC,EEK,0,0
1,ANC,EMK,0,0
1,ANC,ENA,1465.14285714286,950.857142857143
1,ANC,FAI,2573.08333333333,1391.25
1,ANC,GAL,28.8,0.8
1,ANC,GAM,9,4
1,ANC,GDL,0,0
1,ANC,GNU,0,0
1,ANC,GUM,0,0
1,ANC,HFE,0,0
1,ANC,HGH,0,0
1,ANC,HKG,2.85714285714286,0
1,ANC,HNL,1192.5,1112.5
1,ANC,HOM,1220.66666666667,749.666666666667
1,ANC,HPB,0,0
1,ANC,IAH,0,0
1,ANC,ICN,2.66666666666667,0
1,ANC,ILI,85.5,50
1,ANC,INC,0,0
1,ANC,IND,0,0
1,ANC,JFK,0,0
1,ANC,JNU,1755.16666666667,1198.83333333333
1,ANC,KGK,9,2
1,ANC,KGX,9,0
1,ANC,KIX,0,0
1,ANC,KLW,0,0
1,ANC,KNK,45,36
1,ANC,KOA,1240,1086.5
1,ANC,KSM,132.6,72.6
1,ANC,KTN,62,18.5
1,ANC,KTS,9,4
1,ANC,LAX,683.857142857143,568.285714285714
1,ANC,LGG,0,0
1,ANC,MCG,48.3333333333333,15.3333333333333
1,ANC,MEM,0,0
1,ANC,MIA,0,0
1,ANC,MIB,0,0
1,ANC,MSP,1466.33333333333,1322.66666666667
1,ANC,NCN,8,0
1,ANC,NGB,0,0
1,ANC,NGO,0,0
1,ANC,NKG,0,0
1,ANC,NLG,0,0
1,ANC,NNL,27,14
1,ANC,NRT,0,0
1,ANC,OAK,0,0
1,ANC,OGG,2703,2350
1,ANC,OME,780.666666666667,362.333333333333
1,ANC,ONT,0,0
1,ANC,ORD,116.071428571429,102
1,ANC,OTZ,486.6,137.7
1,ANC,PAE,0,0
1,ANC,PAQ,0,0
1,ANC,PDX,1464.875,1121.5
1,ANC,PHO,9,3
1,ANC,PHX,1847.5,1432
1,ANC,PQS,4.5,0
1,ANC,PSG,124,59
1,ANC,PTH,0,0
1,ANC,PVG,0,0
1,ANC,RDB,403,207.75
1,ANC,RFD,0,0
1,ANC,SCC,461.375,275.125
1,ANC,SDF,0,0
1,ANC,SDP,135.25,42.5
1,ANC,SEA,7944.4,6464.3
1,ANC,SFO,0,0
1,ANC,SHH,9,3
1,ANC,SHX,9,9
1,ANC,SIT,230,92.3333333333333
1,ANC,SMK,6,1.66666666666667
1,ANC,SNP,200,83
1,ANC,STG,0,0
1,ANC,SVA,9,5
1,ANC,SZX,0,0
1,ANC,TEK,0,0
1,ANC,TOG,0,0
1,ANC,TPE,0,0
1,ANC,UNK,106.875,66.125
1,ANC,VDZ,1270,526
1,ANC,WBB,9,4
1,ANC,WRG,0,0
1,ANC,WUH,0,0
1,ANC,WUX,0,0
1,ANC,YAK,62,3
1,ANC,YEG,166,141
1,ANC,YHZ,0,0
1,ANC,YQM,0,0
1,ANC,YQU,8,7
1,ANC,YWG,0,0
1,ANC,YYZ,0,0
1,ANC,YZF,0,0
1,AND,SBN,50,28
1,ANF,MIA,0,0
1,ANI,AKI,6,0
1,ANI,ANC,133.625,71.625
1,ANI,ANI,3,0
1,ANI,ANV,25,4.75
1,ANI,ATT,0,0
1,ANI,BET,30.4285714285714,14.2857142857143
1,ANI,CHU,31,5.8
1,ANI,CKD,19,5.25
1,ANI,GAL,9,0
1,ANI,HCR,51.3333333333333,19.3333333333333
1,ANI,KGX,42.4,6.6
1,ANI,KKI,31.5,0.5
1,ANI,KLG,73.6666666666667,22.6666666666667
1,ANI,KSM,18,18
1,ANI,MLL,9,2
1,ANI,MOU,1,0
1,ANI,OME,19,3
1,ANI,PQS,6,1
1,ANI,RDV,18,1
1,ANI,RSH,35.5714285714286,2.14285714285714
1,ANI,SHX,33.75,5.75
1,ANI,SLQ,14.8,2.2
1,ANI,SMK,0,0
1,ANI,SRV,13.5,2
1,ANI,TLT,0,0
1,ANI,WBB,1,0
1,ANU,ATL,800,562
1,ANU,CLT,278,246
1,ANU,EWR,1268,980.5
1,ANU,JFK,1890.66666666667,1469.33333333333
1,ANU,MIA,2660,1548.75
1,ANU,PBI,13,0
1,ANU,SJU,260.5,78.5
1,ANU,TEB,14,1
1,ANV,ANI,24,12
1,ANV,BET,6,0
1,ANV,HCR,17.5,7.25
1,ANV,KGX,30,7.5
1,ANV,SHX,13,4
1,AOO,BWI,224,69
1,AOO,PIT,608,146
1,APA,HOU,0,0
1,APA,RIL,13,0
1,APA,SAN,9,1
1,APC,LAS,12,3
1,APC,SAN,8,8
1,APC,TUS,8,2
1,APF,FLL,16,1
1,APF,PHL,13,3
1,APF,YYZ,8,2
1,APN,ANC,0,0
1,APN,DTW,1400,436
1,APN,FNT,25,18
1,APN,MBS,50,10
1,APN,PLN,1000,161
1,APW,HNL,653,136
1,APW,PPG,18,1
1,ARC,FAI,27.6666666666667,10.6666666666667
1,ARC,FYU,36,20
1,ARC,VEE,94.5,43
1,ARN,EWR,7860,5168
1,ARN,FLL,2619,2263
1,ARN,JFK,2526.5,1927.5
1,ARN,LAX,6806,4625
1,ARN,MCO,1190.5,878.5
1,ARN,MIA,644,544.5
1,ARN,ORD,3358.5,1902.5
1,ART,PHL,2200,1492
1,ART,SYR,100,62
1,ART,YYZ,8,2
1,ASD,FLL,16,10
1,ASD,FXE,216,101
1,ASE,ATL,897,582
1,ASE,DEN,14700,9725
1,ASE,DFW,3185,1985
1,ASE,DPA,15,0
1,ASE,GJT,348,243
1,ASE,HPN,8,3
1,ASE,IAH,6300,3918
1,ASE,LAX,4940.5,3173
1,ASE,MDW,32,7
1,ASE,MSP,414,294
1,ASE,MWH,9,6
1,ASE,ORD,4227.5,2416
1,ASE,PHX,715,325
1,ASE,PSP,42,11.5
1,ASE,RIL,16,0
1,ASE,SBA,13,0
1,ASE,SFO,3920,2104
1,ASE,SLC,2174,1159.5
1,ASE,TEB,12,5
1,ASE,VNY,12,6.5
1,ASU,MIA,0,0
1,ATH,EWR,10974,7861
1,ATK,AIN,60.3333333333333,26
1,ATK,BRW,172,60.6666666666667
1,ATK,ORV,19,14
1,ATK,PIZ,19,18
1,ATK,SCC,19,0
1,ATL,ABE,1989.66666666667,1655.66666666667
1,ATL,ABQ,3399,2668.66666666667
1,ATL,ABY,4150,3129
1,ATL,AEX,2699.5,1880
1,ATL,AGS,4113.75,3455.75
1,ATL,ALB,6179.5,4787
1,ATL,AMS,8916.5,7604.25
1,ATL,ANC,0,0
1,ATL,ANU,800,731
1,ATL,ASE,1000.5,723.5
1,ATL,ATW,2209,2037
1,ATL,AUA,3424,3004.5
1,ATL,AUS,8176.5,6496.5
1,ATL,AVL,1986.83333333333,1737.16666666667
1,ATL,AVP,2970,2447
1,ATL,BDA,1543,956
1,ATL,BDL,7413.5,5901.25
1,ATL,BED,72,59
1,ATL,BHD,14,5
1,ATL,BHM,6112.33333333333,4885
1,ATL,BJX,3069,2235
1,ATL,BMI,2143.33333333333,1617.66666666667
1,ATL,BNA,8886.85714285714,6412.85714285714
1,ATL,BOG,6156,5211
1,ATL,BON,1038,819.5
1,ATL,BOS,5582.6875,4275.625
1,ATL,BQK,4150,2605
1,ATL,BRU,2042.5,1302
1,ATL,BTR,2183.5,1657.5
1,ATL,BTV,2204,1803
1,ATL,BUF,5638.33333333333,3941.33333333333
1,ATL,BWI,9684.875,7569.75
1,ATL,BZE,2672.5,2396.5
1,ATL,BZN,494,448
1,ATL,CAE,4539.2,3483
1,ATL,CAK,4287.5,3657
1,ATL,CDG,9299.5,7698.5
1,ATL,CGN,0,0
1,ATL,CHA,4819.75,4077.25
1,ATL,CHO,3215.66666666667,2287
1,ATL,CHS,10085.25,7837
1,ATL,CID,1232,1000.6
1,ATL,CLE,6742.16666666667,5293.5
1,ATL,CLT,4152.42857142857,2573.07142857143
1,ATL,CMH,9350.2,7268
1,ATL,COS,1753.5,1449.5
1,ATL,CRW,1963,1468.5
1,ATL,CSG,2073.5,1483
1,ATL,CTG,1260,1119
1,ATL,CUN,4832.28571428571,4377
1,ATL,CVG,4519.14285714286,3865.14285714286
1,ATL,CZM,1568,1488.5
1,ATL,DAB,9301,8274
1,ATL,DAL,6697,5235.66666666667
1,ATL,DAY,5551.33333333333,3990.66666666667
1,ATL,DCA,8167.81818181818,5213.81818181818
1,ATL,DEN,4455.70588235294,3691.94117647059
1,ATL,DFW,5068.52941176471,3938.88235294118
1,ATL,DHN,5750,4171
1,ATL,DOH,5545,4722.5
1,ATL,DSM,6003.5,4643
1,ATL,DTW,4546.17647058824,3612.47058823529
1,ATL,DUS,5162,3711
1,ATL,ECP,10449.5,7504.5
1,ATL,EGE,5970,4456
1,ATL,ELH,535,458
1,ATL,ELM,152,131
1,ATL,ELP,9320,7542
1,ATL,EVV,1633,1338.33333333333
1,ATL,EWN,2746,1842
1,ATL,EWR,5272.92307692308,4329.30769230769
1,ATL,EYW,7987,7285
1,ATL,EZE,7533,6945
1,ATL,FAR,456,403
1,ATL,FAY,2508,1968.25
1,ATL,FCO,4369,4087
1,ATL,FLL,8679.6875,7595.9375
1,ATL,FNT,2198.25,2033
1,ATL,FPO,532,460
1,ATL,FRA,2129.83333333333,1619.66666666667
1,ATL,FSD,1104.66666666667,919.333333333333
1,ATL,FSM,1359.5,964
1,ATL,FWA,5700,4836
1,ATL,GCM,1848.75,1635.25
1,ATL,GDL,1616.5,1389.25
1,ATL,GGT,1276,1018.5
1,ATL,GIG,6883,6167
1,ATL,GJT,138,0
1,ATL,GND,640,457
1,ATL,GNV,2378.16666666667,1986
1,ATL,GPT,2567.2,1791.8
1,ATL,GRB,1205,1128.5
1,ATL,GRR,4238.8,3663
1,ATL,GRU,4539,3892.5
1,ATL,GSO,5818.2,4465.2
1,ATL,GSP,4094.09090909091,2946.45454545455
1,ATL,GTR,4093,3315
1,ATL,GUA,12336,10539
1,ATL,HAV,1318,1113
1,ATL,HDN,4867,4095
1,ATL,HNL,9082,8618
1,ATL,HOU,5918.25,4219.25
1,ATL,HPN,4057.66666666667,3194
1,ATL,HSV,4983.2,3668.4
1,ATL,IAD,3212.07692307692,2347.23076923077
1,ATL,IAH,3717.42857142857,2932.14285714286
1,ATL,ICN,10141,9455.5
1,ATL,ICT,6156.5,4508.5
1,ATL,ILM,2493.25,1857.5
1,ATL,IND,5571.77777777778,4490.77777777778
1,ATL,INT,50,37
1,ATL,IST,3179,2353
1,ATL,JAC,1990,1398
1,ATL,JAN,5849,3939.5
1,ATL,JAX,8388.88888888889,6567.88888888889
1,ATL,JFK,3501.38461538462,2735.07692307692
1,ATL,JNB,9015,7238
1,ATL,KIN,2609.5,2146.5
1,ATL,LAS,4457.0625,3862.125
1,ATL,LAX,4696.77272727273,4198.22727272727
1,ATL,LCK,0,0
1,ATL,LEX,2312.75,1872.125
1,ATL,LFT,1537.5,1292.75
1,ATL,LGA,7850.93333333333,5803.8
1,ATL,LGG,0,0
1,ATL,LHR,5779.83333333333,3653.5
1,ATL,LIM,7530,6680
1,ATL,LIR,2565.75,2343.25
1,ATL,LIT,6238.5,4559.75
1,ATL,LNK,1748,1368
1,ATL,LOS,3978,3482
1,ATL,LUX,0,0
1,ATL,MAD,2288,1668.5
1,ATL,MAN,5915,4376
1,ATL,MBJ,3906.2,3620.8
1,ATL,MCI,8314.66666666667,6400.83333333333
1,ATL,MCO,10788.6428571429,9196.42857142857
1,ATL,MDT,3111,2617.66666666667
1,ATL,MDW,9060,6882.5
1,ATL,MEM,4199.7,3330.6
1,ATL,MEX,6544.33333333333,5883.66666666667
1,ATL,MGA,528,480
1,ATL,MGM,3158.33333333333,2390
1,ATL,MHH,935.5,722.5
1,ATL,MHT,220,188
1,ATL,MIA,6769.84615384615,5958
1,ATL,MKE,5471.42857142857,4195.14285714286
1,ATL,MKL,216,206
1,ATL,MLB,8579,7168
1,ATL,MLI,3208.5,2628.5
1,ATL,MLU,5600,3955
1,ATL,MOB,6235,4733
1,ATL,MSL,456,259
1,ATL,MSN,2226.6,1772
1,ATL,MSP,5240.78571428571,4490
1,ATL,MSY,4999.86666666667,3746.4
1,ATL,MTJ,948,737
1,ATL,MTY,6710,5375
1,ATL,MUC,4844,3987
1,ATL,MYR,3772.66666666667,2873.66666666667
1,ATL,NAS,5069.5,4167.25
1,ATL,NRT,9024,8274
1,ATL,OAJ,2966.5,1833
1,ATL,OAK,1344.25,1132.25
1,ATL,OKC,4983.5,3834.25
1,ATL,OMA,10393.5,8366.5
1,ATL,ORD,2839.84615384615,2175.15384615385
1,ATL,ORF,6848.4,4907.2
1,ATL,PAP,4959,4259
1,ATL,PBI,7221.5,6233.125
1,ATL,PDX,5662.66666666667,5012.66666666667
1,ATL,PHF,1949.25,1393
1,ATL,PHL,3933.05263157895,2894.21052631579
1,ATL,PHX,6640.875,5290.125
1,ATL,PIA,2075,1731
1,ATL,PIT,6143,4661.57142857143
1,ATL,PLS,2658,2282.5
1,ATL,PNS,10029,8004.66666666667
1,ATL,POB,173,0
1,ATL,PSP,800,531
1,ATL,PTY,1859.33333333333,1575.66666666667
1,ATL,PUJ,6988.33333333333,6295.66666666667
1,ATL,PVD,3693,2990.66666666667
1,ATL,PVG,7867,7537
1,ATL,PVR,5181,4829
1,ATL,PWM,2031.5,1719
1,ATL,QRO,1518.5,1121.5
1,ATL,RDU,6673.9,5252.9
1,ATL,RIC,7458.57142857143,5516.71428571429
1,ATL,RNO,1194,1107
1,ATL,ROA,2471.5,1844.25
1,ATL,ROC,6339.5,5486.5
1,ATL,RST,2208,1913
1,ATL,RSW,9156.5,7564.83333333333
1,ATL,RTB,796,560
1,ATL,SAL,2520,2326.5
1,ATL,SAN,5523.66666666667,4994
1,ATL,SAP,2520,2189.5
1,ATL,SAT,6670.16666666667,5357.83333333333
1,ATL,SAV,5758.66666666667,4282.83333333333
1,ATL,SBN,2032,1685
1,ATL,SCL,6466,5932
1,ATL,SDF,4808.57142857143,3762.85714285714
1,ATL,SDQ,2245.33333333333,2118.33333333333
1,ATL,SEA,5550.14285714286,4912.71428571429
1,ATL,SFO,3943.75,3355.5
1,ATL,SGF,4323,3079.5
1,ATL,SHV,1936.6,1379
1,ATL,SJC,4999,4449.66666666667
1,ATL,SJD,2581,2452
1,ATL,SJO,13929,12807
1,ATL,SJU,5424.75,5067
1,ATL,SKB,650,400
1,ATL,SLC,5437.66666666667,4986.11111111111
1,ATL,SMF,7529,6916
1,ATL,SNA,17507,15564
1,ATL,SNN,0,0
1,ATL,SRQ,5204.5,4441.33333333333
1,ATL,STI,1256,1149
1,ATL,STL,10302.6,7757
1,ATL,STN,0,0
1,ATL,STR,5408,4131
1,ATL,STT,7164,6565
1,ATL,STX,584.25,438.75
1,ATL,SXM,2222,1729.5
1,ATL,SYR,4233.66666666667,3468
1,ATL,TGU,3844,3355
1,ATL,TLH,3035.83333333333,2409.33333333333
1,ATL,TLV,0,0
1,ATL,TPA,8383.75,6924.33333333333
1,ATL,TRI,2202,1644.6
1,ATL,TTN,1665,1508
1,ATL,TUL,7787.5,5518
1,ATL,TUS,9896,8094
1,ATL,TYS,4174.8,3597
1,ATL,UIO,6130,5225
1,ATL,USA,12,7
1,ATL,UVF,3020,2346.5
1,ATL,VLD,4350,3269
1,ATL,VPS,6362.66666666667,4871.33333333333
1,ATL,XNA,2252.57142857143,1440.85714285714
1,ATL,YHM,0,0
1,ATL,YUL,2899.33333333333,2257.33333333333
1,ATL,YYZ,11396.3333333333,9082
1,ATT,BET,45.3636363636364,12.0909090909091
1,ATT,KUK,7,4.33333333333333
1,ATT,KWT,6,0
1,ATT,MLL,6,0
1,ATT,NME,6,3
1,ATT,NUP,11,5.4
1,ATT,OOK,9,1
1,ATT,PKA,18,1.5
1,ATT,WTL,6,0
1,ATW,ATL,2176,1979
1,ATW,AZA,1674,1293
1,ATW,DEN,1500,1296
1,ATW,DTW,1031.4,863.2
1,ATW,FAR,0,0
1,ATW,LAS,1404,1011
1,ATW,MEM,0,0
1,ATW,MKE,0,0
1,ATW,MSN,25,20
1,ATW,MSP,2639,2124.5
1,ATW,ORD,2316.25,1673.25
1,ATW,PGD,1488,1164
1,ATW,PIE,786,579.5
1,ATW,SFB,858,686
1,AUA,ATL,3424,2921
1,AUA,BOS,2921.75,2445.5
1,AUA,BQN,0,0
1,AUA,BWI,4719,4012
1,AUA,CLT,1629.33333333333,1421.66666666667
1,AUA,DAL,173,143
1,AUA,DFW,640,380
